DateTime,Average USD,Sales USD
2017-12-12 0:00,21.53,799719.89
2017-12-13 0:00,20.98,605433.57
2017-12-14 0:00,19.26,587892.27
2017-12-15 0:00,19.19,437727.98
2017-12-16 0:00,21.65,480042.34
2017-12-17 0:00,21.73,402665.64
2017-12-18 0:00,17.75,310868.95
2017-12-19 0:00,18.67,233220.43
2017-12-20 0:00,16.38,261413.31
2017-12-21 0:00,19.09,198498.62
2017-12-22 0:00,15.74,150935.67
2017-12-23 0:00,13.37,148113.44
2017-12-24 0:00,12.24,128950.57
2017-12-25 0:00,14.29,118608.42
2017-12-26 0:00,16.73,117113.26
2017-12-27 0:00,13.2,113314.94
2017-12-28 0:00,12.09,115838.54
2017-12-29 0:00,13.56,110874.15
2017-12-30 0:00,12.36,79464.61
2017-12-31 0:00,14.84,100518.2
2018-01-01 0:00,15.33,110718.7
2018-01-02 0:00,15.94,103476.82
2018-01-03 0:00,15.34,56376.35
2018-01-04 0:00,22.87,58396.11
2018-01-05 0:00,20.88,42210.1
2018-01-06 0:00,29.33,82176.64
2018-01-07 0:00,20.23,62808.55
2018-01-08 0:00,23.08,57018.34
2018-01-09 0:00,31.53,56115.93
2018-01-10 0:00,39.22,52322.81
2018-01-11 0:00,25.55,51795.33
2018-01-12 0:00,25.09,61269.89
2018-01-13 0:00,24.89,61055.58
2018-01-14 0:00,29.12,80148.41
2018-01-15 0:00,27.34,49429.52
2018-01-16 0:00,27.39,54869.09
2018-01-17 0:00,20.09,44826.38
2018-01-18 0:00,19.14,51000.29
2018-01-19 0:00,23.99,73154.65
2018-01-20 0:00,49.37,154808.76
2018-01-21 0:00,20.87,63414.4
2018-01-22 0:00,12.84,67108.49
2018-01-23 0:00,14.08,79113.3
2018-01-24 0:00,17.63,50398.13
2018-01-25 0:00,17.43,41813.58
2018-01-26 0:00,20.03,57326.31
2018-01-27 0:00,17.44,54396.18
2018-01-28 0:00,27.62,73800.87
2018-01-29 0:00,19.85,47685.12
2018-01-30 0:00,19.14,56917.26
2018-01-31 0:00,29.87,111655.12
2018-02-01 0:00,16.43,40309.44
2018-02-02 0:00,20.21,55254.01
2018-02-03 0:00,15.61,36331.14
2018-02-04 0:00,15.34,31638.27
2018-02-05 0:00,12.86,29371.04
2018-02-06 0:00,10.7,35205.97
2018-02-07 0:00,12.35,35537.88
2018-02-08 0:00,12.36,33145.17
2018-02-09 0:00,17.09,47538.99
2018-02-10 0:00,32.1,67566.5
2018-02-11 0:00,19.13,63123.16
2018-02-12 0:00,17.77,56307.57
2018-02-13 0:00,25.9,92883.64
2018-02-14 0:00,67.91,380112.49
2018-02-15 0:00,120.05,759073.41
2018-02-16 0:00,31.41,168751.22
2018-02-17 0:00,37.56,160610.11
2018-02-18 0:00,39.3,170897.42
2018-02-19 0:00,39.31,192058.26
2018-02-20 0:00,59.09,265535.23
2018-02-21 0:00,22.86,91182.47
2018-02-22 0:00,20.44,78036.87
2018-02-23 0:00,28.13,115572.7
2018-02-24 0:00,20.1,167121.87
2018-02-25 0:00,13.3,120096.67
2018-02-26 0:00,19.55,129662.98
2018-02-27 0:00,19.6,162816.18
2018-02-28 0:00,16.06,122230.12
2018-03-01 0:00,15.4,93286.48
