DateTime,Number of sales,Active market wallets
2018-01-14 0:00,2752,1036
2018-01-15 0:00,1808,878
2018-01-16 0:00,2003,882
2018-01-17 0:00,2231,865
2018-01-18 0:00,2665,1007
2018-01-19 0:00,3050,1016
2018-01-20 0:00,3136,913
2018-01-21 0:00,3039,937
2018-01-22 0:00,5225,1051
2018-01-23 0:00,5617,1036
2018-01-24 0:00,2858,865
2018-01-25 0:00,2399,837
2018-01-26 0:00,2862,859
2018-01-27 0:00,3119,886
2018-01-28 0:00,2672,803
2018-01-29 0:00,2402,843
2018-01-30 0:00,2974,797
2018-01-31 0:00,3738,863
2018-02-01 0:00,2454,676
2018-02-02 0:00,2734,718
2018-02-03 0:00,2328,662
2018-02-04 0:00,2063,624
2018-02-05 0:00,2284,706
2018-02-06 0:00,3291,822
2018-02-07 0:00,2878,879
2018-02-08 0:00,2681,846
2018-02-09 0:00,2781,850
2018-02-10 0:00,2105,796
2018-02-11 0:00,3300,928
2018-02-12 0:00,3168,880
2018-02-13 0:00,3586,978
2018-02-14 0:00,5597,1519
2018-02-15 0:00,6323,1418
2018-02-16 0:00,5373,1174
2018-02-17 0:00,4276,1013
2018-02-18 0:00,4348,1055
2018-02-19 0:00,4886,1017
2018-02-20 0:00,4494,967
2018-02-21 0:00,3989,942
2018-02-22 0:00,3817,912
2018-02-23 0:00,4108,928
2018-02-24 0:00,8314,1054
2018-02-25 0:00,9029,872
2018-02-26 0:00,6632,890
2018-02-27 0:00,8309,1131
2018-02-28 0:00,7611,939
2018-03-01 0:00,6057,858
2018-03-02 0:00,4310,800
2018-03-03 0:00,4377,734
2018-03-04 0:00,5067,911
2018-03-05 0:00,4355,823
2018-03-06 0:00,3754,882
2018-03-07 0:00,4684,1087
2018-03-08 0:00,6629,1054
2018-03-09 0:00,5865,998
2018-03-10 0:00,9103,774
2018-03-11 0:00,4350,803
2018-03-12 0:00,4777,1264
2018-03-13 0:00,3694,769
2018-03-14 0:00,4373,794
2018-03-15 0:00,3865,732
2018-03-16 0:00,3064,710
2018-03-17 0:00,3711,688
2018-03-18 0:00,2786,679
2018-03-19 0:00,3093,867
2018-03-20 0:00,3033,930
2018-03-21 0:00,3340,1027
2018-03-22 0:00,3361,1014
2018-03-23 0:00,3103,1069
2018-03-24 0:00,3122,940
2018-03-25 0:00,6273,848
2018-03-26 0:00,3010,853
2018-03-27 0:00,3340,932
2018-03-28 0:00,3566,849
2018-03-29 0:00,3717,831
2018-03-30 0:00,5647,866
2018-03-31 0:00,3007,856
2018-04-01 0:00,2785,800
2018-04-02 0:00,3065,858
2018-04-03 0:00,3128,850
2018-04-04 0:00,2872,794
2018-04-05 0:00,2701,825
2018-04-06 0:00,3720,948
2018-04-07 0:00,2675,852
2018-04-08 0:00,7429,892
2018-04-09 0:00,5228,865
2018-04-10 0:00,3225,781
2018-04-11 0:00,3382,839
2018-04-12 0:00,2879,795
2018-04-13 0:00,6061,873
2018-04-14 0:00,4837,811
2018-04-15 0:00,3900,759
2018-04-16 0:00,3710,831
2018-04-17 0:00,5020,775
2018-04-18 0:00,4097,705
2018-04-19 0:00,3812,728
2018-04-20 0:00,4008,717
2018-04-21 0:00,2544,690
2018-04-22 0:00,1778,637
2018-04-23 0:00,1822,766
2018-04-24 0:00,2203,728
