"DateTime","Number of sales","Sales USD"
"2017-10-22 00:00:00",0,0
"2017-10-23 00:00:00",0,0
"2017-10-24 00:00:00",0,0
"2017-10-25 00:00:00",1,44.77
"2017-10-26 00:00:00",7,268.92
"2017-10-27 00:00:00",6,178.76
"2017-10-28 00:00:00",6,177.88
"2017-10-29 00:00:00",1,21.26
"2017-10-30 00:00:00",3,217.44
"2017-10-31 00:00:00",6,221.59
"2017-11-01 00:00:00",4,111.09
"2017-11-02 00:00:00",3,111.96
"2017-11-03 00:00:00",0,0
"2017-11-04 00:00:00",3,86.99
"2017-11-05 00:00:00",0,0
"2017-11-06 00:00:00",0,0
"2017-11-07 00:00:00",1,265.71
"2017-11-08 00:00:00",0,0
"2017-11-09 00:00:00",2,148.27
"2017-11-10 00:00:00",0,0
"2017-11-11 00:00:00",0,0
"2017-11-12 00:00:00",1,91.11
"2017-11-13 00:00:00",2,63.07
"2017-11-14 00:00:00",1,67.79
"2017-11-15 00:00:00",2,137.06
"2017-11-16 00:00:00",0,0
"2017-11-17 00:00:00",0,0
"2017-11-18 00:00:00",0,0
"2017-11-19 00:00:00",1,35.34
"2017-11-20 00:00:00",4,146.31
"2017-11-21 00:00:00",89,235.91
"2017-11-22 00:00:00",30,526.91
"2017-11-23 00:00:00",802,2306.45
"2017-11-24 00:00:00",2793,4999.15
"2017-11-25 00:00:00",1945,1884
"2017-11-26 00:00:00",1188,1957.53
"2017-11-27 00:00:00",938,1902.34
"2017-11-28 00:00:00",1489,4327.13
"2017-11-29 00:00:00",4743,27040.18
"2017-11-30 00:00:00",7496,21065
"2017-12-01 00:00:00",7303,33471.6
"2017-12-02 00:00:00",12230,258501.64
"2017-12-03 00:00:00",25528,1012823.07
"2017-12-04 00:00:00",33727,2323214.47
"2017-12-05 00:00:00",39229,2200616.39
"2017-12-06 00:00:00",31220,1841329.24
"2017-12-07 00:00:00",36053,1683185.34
"2017-12-08 00:00:00",43167,2033129.6
"2017-12-09 00:00:00",48718,1746135.81
"2017-12-10 00:00:00",50776,1331445.47
"2017-12-11 00:00:00",45701,1089155.81
"2017-12-12 00:00:00",37150,799719.89
"2017-12-13 00:00:00",28859,605433.57
"2017-12-14 00:00:00",30522,587892.27
"2017-12-15 00:00:00",22811,437727.98
"2017-12-16 00:00:00",22175,480042.34
"2017-12-17 00:00:00",18531,402665.64
"2017-12-18 00:00:00",17518,310868.95
"2017-12-19 00:00:00",12493,233220.43
"2017-12-20 00:00:00",15964,261413.31
"2017-12-21 00:00:00",10397,198498.62
"2017-12-22 00:00:00",9587,150935.67
"2017-12-23 00:00:00",11080,148113.44
"2017-12-24 00:00:00",10535,128950.57
"2017-12-25 00:00:00",8300,118608.42
"2017-12-26 00:00:00",6999,117113.26
"2017-12-27 00:00:00",8583,113314.94
"2017-12-28 00:00:00",9582,115838.54
"2017-12-29 00:00:00",8179,110874.15
"2017-12-30 00:00:00",6429,79464.61
"2017-12-31 00:00:00",6772,100518.2
"2018-01-01 00:00:00",7224,110718.7
"2018-01-02 00:00:00",6490,103476.82
"2018-01-03 00:00:00",3674,56376.35
"2018-01-04 00:00:00",2553,58396.11
"2018-01-05 00:00:00",2022,42210.1
"2018-01-06 00:00:00",2802,82176.64
"2018-01-07 00:00:00",3105,62808.55
"2018-01-08 00:00:00",2470,57018.34
"2018-01-09 00:00:00",1780,56115.93
"2018-01-10 00:00:00",1334,52322.81
"2018-01-11 00:00:00",2027,51795.33
"2018-01-12 00:00:00",2442,61269.89
"2018-01-13 00:00:00",2453,61055.58
"2018-01-14 00:00:00",2752,80148.41
"2018-01-15 00:00:00",1808,49429.52
"2018-01-16 00:00:00",2003,54869.09
"2018-01-17 00:00:00",2231,44826.38
"2018-01-18 00:00:00",2665,51000.29
"2018-01-19 00:00:00",3050,73154.65
"2018-01-20 00:00:00",3136,154808.76
"2018-01-21 00:00:00",3039,63414.4
"2018-01-22 00:00:00",5225,67108.49
"2018-01-23 00:00:00",5617,79113.3
"2018-01-24 00:00:00",2858,50398.13
"2018-01-25 00:00:00",2399,41813.58
"2018-01-26 00:00:00",2862,57326.31
"2018-01-27 00:00:00",3119,54396.18
"2018-01-28 00:00:00",2672,73800.87
"2018-01-29 00:00:00",2402,47685.12
"2018-01-30 00:00:00",2974,56917.26
"2018-01-31 00:00:00",3738,111655.12
"2018-02-01 00:00:00",2454,40309.44
"2018-02-02 00:00:00",2734,55254.01
"2018-02-03 00:00:00",2328,36331.14
"2018-02-04 00:00:00",2063,31638.27
"2018-02-05 00:00:00",2284,29371.04
"2018-02-06 00:00:00",3291,35205.97
"2018-02-07 00:00:00",2878,35537.88
"2018-02-08 00:00:00",2681,33145.17
"2018-02-09 00:00:00",2781,47538.99
"2018-02-10 00:00:00",2105,67566.5
"2018-02-11 00:00:00",3300,63123.16
"2018-02-12 00:00:00",3168,56307.57
"2018-02-13 00:00:00",3586,92883.64
"2018-02-14 00:00:00",5597,380112.49
"2018-02-15 00:00:00",6323,759073.41
"2018-02-16 00:00:00",5373,168751.22
"2018-02-17 00:00:00",4276,160610.11
"2018-02-18 00:00:00",4348,170897.42
"2018-02-19 00:00:00",4886,192058.26
"2018-02-20 00:00:00",4494,265535.23
"2018-02-21 00:00:00",3989,91182.47
"2018-02-22 00:00:00",3817,78036.87
"2018-02-23 00:00:00",4108,115572.7
"2018-02-24 00:00:00",8314,167121.87
"2018-02-25 00:00:00",9029,120096.67
"2018-02-26 00:00:00",6632,129662.98
"2018-02-27 00:00:00",8309,162816.18
"2018-02-28 00:00:00",7611,122230.12
"2018-03-01 00:00:00",6057,93286.48
"2018-03-02 00:00:00",4310,76904.82
"2018-03-03 00:00:00",4377,83396.21
"2018-03-04 00:00:00",5067,213830.4
"2018-03-05 00:00:00",4355,134281.72
"2018-03-06 00:00:00",3754,119340.59
"2018-03-07 00:00:00",4684,164663.54
"2018-03-08 00:00:00",6629,99844.18
"2018-03-09 00:00:00",5865,89045.01
"2018-03-10 00:00:00",9103,96450.65
"2018-03-11 00:00:00",4350,64750.69
"2018-03-12 00:00:00",4777,68839.11
"2018-03-13 00:00:00",3694,62559.95
"2018-03-14 00:00:00",4373,55822.6
"2018-03-15 00:00:00",3865,39693.67
"2018-03-16 00:00:00",3064,46032.73
"2018-03-17 00:00:00",3711,50194.4
"2018-03-18 00:00:00",2786,39320.9
"2018-03-19 00:00:00",3093,52077.77
"2018-03-20 00:00:00",3033,215757.85
"2018-03-21 00:00:00",3340,259445.59
"2018-03-22 00:00:00",3361,139489.38
"2018-03-23 00:00:00",3103,292288.42
"2018-03-24 00:00:00",3122,117257.6
"2018-03-25 00:00:00",6273,113816.29
"2018-03-26 00:00:00",3010,96156.47
"2018-03-27 00:00:00",3340,104017.96
"2018-03-28 00:00:00",3566,189591.41
"2018-03-29 00:00:00",3717,88095.31
"2018-03-30 00:00:00",5647,212948.94
"2018-03-31 00:00:00",3007,77958.16
"2018-04-01 00:00:00",2785,73275.51
"2018-04-02 00:00:00",3065,60061.69
"2018-04-03 00:00:00",3128,75839.1
"2018-04-04 00:00:00",2872,49102.55
"2018-04-05 00:00:00",2701,62693.11
"2018-04-06 00:00:00",3720,67258.34
"2018-04-07 00:00:00",2675,41457.95
"2018-04-08 00:00:00",7429,70478.41
"2018-04-09 00:00:00",5228,48037.96
"2018-04-10 00:00:00",3225,52436.45
"2018-04-11 00:00:00",3382,69635.99
"2018-04-12 00:00:00",2879,42933.53
"2018-04-13 00:00:00",6061,91157.76
"2018-04-14 00:00:00",4837,85272.87
"2018-04-15 00:00:00",3900,90824.77
"2018-04-16 00:00:00",3710,60488.62
"2018-04-17 00:00:00",5020,83907.8
"2018-04-18 00:00:00",4097,66086.5
"2018-04-19 00:00:00",3812,59367.72
"2018-04-20 00:00:00",4008,49424.84
"2018-04-21 00:00:00",2544,45728.43
"2018-04-22 00:00:00",1778,49485.47
"2018-04-23 00:00:00",1822,155678.62
"2018-04-24 00:00:00",2203,82358.96
"2018-04-25 00:00:00",2262,93725.36
"2018-04-26 00:00:00",1776,60775.97
"2018-04-27 00:00:00",3247,59185.14
"2018-04-28 00:00:00",5054,59103.74
"2018-04-29 00:00:00",9817,99944.51
"2018-04-30 00:00:00",3238,107291.18
"2018-05-01 00:00:00",2129,68029.8
"2018-05-02 00:00:00",2019,94953.32
"2018-05-03 00:00:00",1636,67185.24
"2018-05-04 00:00:00",2758,84092.46
"2018-05-05 00:00:00",3429,87058.6
"2018-05-06 00:00:00",2765,60699.12
"2018-05-07 00:00:00",2685,57791.7
"2018-05-08 00:00:00",3651,79385.7
"2018-05-09 00:00:00",2333,56313.78
"2018-05-10 00:00:00",2045,53906.92
"2018-05-11 00:00:00",2443,71415.94
"2018-05-12 00:00:00",2235,38093.56
"2018-05-13 00:00:00",1767,44100.14
"2018-05-14 00:00:00",1389,28611.06
"2018-05-15 00:00:00",1624,26244.34
"2018-05-16 00:00:00",2430,43725.95
"2018-05-17 00:00:00",3854,52018.62
"2018-05-18 00:00:00",3354,51810.91
"2018-05-19 00:00:00",3616,44705.53
"2018-05-20 00:00:00",2623,53104.13
"2018-05-21 00:00:00",1803,31178.77
"2018-05-22 00:00:00",1827,30749.6
"2018-05-23 00:00:00",1687,28326.78
"2018-05-24 00:00:00",3002,43028
"2018-05-25 00:00:00",2263,52285.41
"2018-05-26 00:00:00",2706,49105.88
"2018-05-27 00:00:00",2797,40576.71
"2018-05-28 00:00:00",2047,48516.25
"2018-05-29 00:00:00",4070,51311.4
"2018-05-30 00:00:00",4484,60481.49
"2018-05-31 00:00:00",3294,44200.67
"2018-06-01 00:00:00",2798,33708.56
"2018-06-02 00:00:00",2856,47632.85
"2018-06-03 00:00:00",2283,58260.63
"2018-06-04 00:00:00",2150,49757.85
"2018-06-05 00:00:00",2475,56248.57
"2018-06-06 00:00:00",1960,53603.46
"2018-06-07 00:00:00",2130,63251.61
"2018-06-08 00:00:00",2022,67539.75
"2018-06-09 00:00:00",2749,36132.86
"2018-06-10 00:00:00",2015,40044.2
"2018-06-11 00:00:00",3276,42276.2
"2018-06-12 00:00:00",2740,36185.97
"2018-06-13 00:00:00",2168,50917.29
"2018-06-14 00:00:00",1869,45506.05
"2018-06-15 00:00:00",5203,50113.16
"2018-06-16 00:00:00",2303,28173.59
"2018-06-17 00:00:00",2378,60411.98
"2018-06-18 00:00:00",2657,99729.94
"2018-06-19 00:00:00",2643,96487.65
"2018-06-20 00:00:00",1871,45533.18
"2018-06-21 00:00:00",2967,71863.75
"2018-06-22 00:00:00",5060,58962.91
"2018-06-23 00:00:00",2895,48488.66
"2018-06-24 00:00:00",2935,54035.17
"2018-06-25 00:00:00",2475,45043.33
"2018-06-26 00:00:00",2247,39721.41
"2018-06-27 00:00:00",2368,37967.99
"2018-06-28 00:00:00",2547,41096.7
"2018-06-29 00:00:00",3221,60564.87
"2018-06-30 00:00:00",2381,36665.86
"2018-07-01 00:00:00",1314,20020.92
"2018-07-02 00:00:00",689,17961.66
"2018-07-03 00:00:00",616,31245.32
"2018-07-04 00:00:00",748,104023.52
"2018-07-05 00:00:00",948,33501.47
"2018-07-06 00:00:00",1668,22645.59
"2018-07-07 00:00:00",1255,17567.16
"2018-07-08 00:00:00",1767,22322.22
"2018-07-09 00:00:00",2770,36809.21
"2018-07-10 00:00:00",2009,31586.37
"2018-07-11 00:00:00",2395,40208.21
"2018-07-12 00:00:00",2976,44827.17
"2018-07-13 00:00:00",3794,47345.67
"2018-07-14 00:00:00",1581,18910.35
"2018-07-15 00:00:00",1371,31901.69
"2018-07-16 00:00:00",2170,56275.22
"2018-07-17 00:00:00",1884,42418.14
"2018-07-18 00:00:00",1800,47208.02
"2018-07-19 00:00:00",1971,33490.58
"2018-07-20 00:00:00",1716,26723.05
"2018-07-21 00:00:00",2201,29915.69
"2018-07-22 00:00:00",2104,53092.9
"2018-07-23 00:00:00",2161,42770.1
"2018-07-24 00:00:00",1848,52211.37
"2018-07-25 00:00:00",2422,41542.34
"2018-07-26 00:00:00",3361,44163.95
"2018-07-27 00:00:00",4089,415721.05
"2018-07-28 00:00:00",3040,897060.38
"2018-07-29 00:00:00",2191,30689.46
"2018-07-30 00:00:00",1798,173964.94
"2018-07-31 00:00:00",2022,94111.36
"2018-08-01 00:00:00",2525,34035.58
"2018-08-02 00:00:00",2324,232951.42
"2018-08-03 00:00:00",1737,46194.89
"2018-08-04 00:00:00",1984,53761.15
"2018-08-05 00:00:00",1759,57666.62
"2018-08-06 00:00:00",1583,44249.93
"2018-08-07 00:00:00",1383,53018.14
"2018-08-08 00:00:00",1460,33993.72
"2018-08-09 00:00:00",1381,33134.96
"2018-08-10 00:00:00",1444,21132.72
"2018-08-11 00:00:00",1829,20521.51
"2018-08-12 00:00:00",2377,25435.06
"2018-08-13 00:00:00",2593,34192.91
"2018-08-14 00:00:00",3252,78348.73
"2018-08-15 00:00:00",3327,65210.84
"2018-08-16 00:00:00",3657,51676.01
"2018-08-17 00:00:00",5066,57891.83
"2018-08-18 00:00:00",5972,88665.99
"2018-08-19 00:00:00",6706,73427.4
"2018-08-20 00:00:00",3531,48430.36
"2018-08-21 00:00:00",3580,82445.62
"2018-08-22 00:00:00",2608,51791.4
"2018-08-23 00:00:00",4234,101186.29
"2018-08-24 00:00:00",5306,94878.07
"2018-08-25 00:00:00",4823,157056.88
"2018-08-26 00:00:00",3857,50377.17
"2018-08-27 00:00:00",5036,64095.11
"2018-08-28 00:00:00",4212,79556.21
"2018-08-29 00:00:00",5042,69637.97
"2018-08-30 00:00:00",8333,67406.22
"2018-08-31 00:00:00",10616,82550.91
"2018-09-01 00:00:00",9500,79217.93
"2018-09-02 00:00:00",8075,75485.71
"2018-09-03 00:00:00",7327,75655.12
"2018-09-04 00:00:00",4978,226059.8
"2018-09-05 00:00:00",5597,94771.44
"2018-09-06 00:00:00",7273,51758.93
"2018-09-07 00:00:00",7958,75774.96
"2018-09-08 00:00:00",6080,98217.06
"2018-09-09 00:00:00",9086,87643.33
"2018-09-10 00:00:00",8009,149738.13
"2018-09-11 00:00:00",10666,79343.21
"2018-09-12 00:00:00",9386,158998.88
"2018-09-13 00:00:00",4406,163278.98
"2018-09-14 00:00:00",4660,146175.87
"2018-09-15 00:00:00",3749,103175.33
"2018-09-16 00:00:00",3252,177417.95
"2018-09-17 00:00:00",3841,68913.98
"2018-09-18 00:00:00",4251,88322.71
"2018-09-19 00:00:00",5357,116362.76
"2018-09-20 00:00:00",4439,98589.29
"2018-09-21 00:00:00",5275,157580.56
"2018-09-22 00:00:00",7064,68630.75
"2018-09-23 00:00:00",5463,203709.92
"2018-09-24 00:00:00",4801,85269.65
"2018-09-25 00:00:00",4725,64890.22
"2018-09-26 00:00:00",5803,83598.75
"2018-09-27 00:00:00",6178,102634.9
"2018-09-28 00:00:00",3623,49167.79
"2018-09-29 00:00:00",4195,83731.53
"2018-09-30 00:00:00",4918,52043.3
"2018-10-01 00:00:00",4374,72407.7
"2018-10-02 00:00:00",3110,88207.8
"2018-10-03 00:00:00",3768,156822.62
"2018-10-04 00:00:00",4260,119477.94
"2018-10-05 00:00:00",7338,112784.22
"2018-10-06 00:00:00",4429,74562.88
"2018-10-07 00:00:00",4443,83273.57
"2018-10-08 00:00:00",4215,61012.91
"2018-10-09 00:00:00",3674,74761.82
"2018-10-10 00:00:00",4290,94893.11
"2018-10-11 00:00:00",6261,144445.78
"2018-10-12 00:00:00",4659,175673.57
"2018-10-13 00:00:00",3948,131840.31
"2018-10-14 00:00:00",3300,71707.36
"2018-10-15 00:00:00",3085,95913.81
"2018-10-16 00:00:00",3336,52748.85
"2018-10-17 00:00:00",5478,87001.5
"2018-10-18 00:00:00",3450,96608.84
"2018-10-19 00:00:00",7969,80351.65
"2018-10-20 00:00:00",4621,51126.12
"2018-10-21 00:00:00",5459,48900.38
"2018-10-22 00:00:00",4195,188476.6
"2018-10-23 00:00:00",5166,97175.92
"2018-10-24 00:00:00",4212,93004.51
"2018-10-25 00:00:00",3525,61318.64
"2018-10-26 00:00:00",4508,54046.47
"2018-10-27 00:00:00",5350,58350.19
"2018-10-28 00:00:00",4256,61873.52
"2018-10-29 00:00:00",4236,61703.39
"2018-10-30 00:00:00",3756,132255.64
"2018-10-31 00:00:00",3691,41644.82
"2018-11-01 00:00:00",3895,108860.2
"2018-11-02 00:00:00",3786,122969.92
"2018-11-03 00:00:00",4554,48018.46
"2018-11-04 00:00:00",4491,56912.69
"2018-11-05 00:00:00",4326,277425.75
"2018-11-06 00:00:00",3634,100671.18
"2018-11-07 00:00:00",5216,125927.39
"2018-11-08 00:00:00",3654,121546.15
"2018-11-09 00:00:00",3447,77313.44
"2018-11-10 00:00:00",4024,64334.29
"2018-11-11 00:00:00",3996,229312.47
"2018-11-12 00:00:00",3912,92202.75
"2018-11-13 00:00:00",5214,149130.72
"2018-11-14 00:00:00",5302,142126.66
"2018-11-15 00:00:00",10235,126557.97
"2018-11-16 00:00:00",6394,91658.7
"2018-11-17 00:00:00",4801,38937.05
"2018-11-18 00:00:00",4537,57880.13
"2018-11-19 00:00:00",3934,110098.14
"2018-11-20 00:00:00",4021,78741.24
"2018-11-21 00:00:00",6145,40302.9
"2018-11-22 00:00:00",6607,55182.4
"2018-11-23 00:00:00",4507,73669.01
"2018-11-24 00:00:00",4526,45921.94
"2018-11-25 00:00:00",5113,29626.97
"2018-11-26 00:00:00",5725,44322.19
"2018-11-27 00:00:00",6169,49564.01
"2018-11-28 00:00:00",5115,47789.9
"2018-11-29 00:00:00",4431,96461.53
"2018-11-30 00:00:00",5920,101154.94
"2018-12-01 00:00:00",10711,60527.32
"2018-12-02 00:00:00",7508,54617.29
"2018-12-03 00:00:00",7094,37493.78
"2018-12-04 00:00:00",6366,44192.96
"2018-12-05 00:00:00",13552,55041.12
"2018-12-06 00:00:00",5511,33172.03
"2018-12-07 00:00:00",6347,31740.9
"2018-12-08 00:00:00",4413,72353.54
"2018-12-09 00:00:00",4385,43542.13
"2018-12-10 00:00:00",3090,31709.93
"2018-12-11 00:00:00",3468,184655.46
"2018-12-12 00:00:00",3861,877650.89
"2018-12-13 00:00:00",5441,45389.88
"2018-12-14 00:00:00",4729,183749.83
"2018-12-15 00:00:00",6231,117979.45
"2018-12-16 00:00:00",6051,193151.42
"2018-12-17 00:00:00",4713,56039.71
"2018-12-18 00:00:00",3666,58721.29
"2018-12-19 00:00:00",4034,393317.84
"2018-12-20 00:00:00",4896,1018608.44
"2018-12-21 00:00:00",6954,2848776.8
"2018-12-22 00:00:00",3745,460007.26
"2018-12-23 00:00:00",7151,1354033.5
"2018-12-24 00:00:00",3959,66532.22
"2018-12-25 00:00:00",3118,64396.21
"2018-12-26 00:00:00",2911,26081.35
"2018-12-27 00:00:00",2832,27763.83
"2018-12-28 00:00:00",3185,63361.64
"2018-12-29 00:00:00",3060,24917.68
"2018-12-30 00:00:00",3033,54069.48
"2018-12-31 00:00:00",3362,61376.56
"2019-01-01 00:00:00",2428,20331.77
"2019-01-02 00:00:00",2629,29062.92
"2019-01-03 00:00:00",2675,44896.41
"2019-01-04 00:00:00",2722,51870.71
"2019-01-05 00:00:00",2772,30808.49
"2019-01-06 00:00:00",2715,733070.32
"2019-01-07 00:00:00",3151,37130.89
"2019-01-08 00:00:00",2333,55068.63
"2019-01-09 00:00:00",2382,42106.58
"2019-01-10 00:00:00",3445,42838.12
"2019-01-11 00:00:00",8385,59914.21
"2019-01-12 00:00:00",5806,70386.39
"2019-01-13 00:00:00",5425,86139.99
"2019-01-14 00:00:00",4553,105746.97
"2019-01-15 00:00:00",4159,33374.35
"2019-01-16 00:00:00",4392,67807.62
"2019-01-17 00:00:00",3709,45167.89
"2019-01-18 00:00:00",4561,57108.12
"2019-01-19 00:00:00",4197,39880.33
"2019-01-20 00:00:00",4663,63637.09
"2019-01-21 00:00:00",4298,33940.08
"2019-01-22 00:00:00",2423,24850.18
"2019-01-23 00:00:00",3016,27579
"2019-01-24 00:00:00",3806,27879.33
"2019-01-25 00:00:00",3241,44968.32
"2019-01-26 00:00:00",7130,36764.37
"2019-01-27 00:00:00",6767,59945.2
"2019-01-28 00:00:00",4817,61779.56
"2019-01-29 00:00:00",3231,25326.29
"2019-01-30 00:00:00",3326,889807.27
"2019-01-31 00:00:00",2981,28515.89
"2019-02-01 00:00:00",3765,31063.84
"2019-02-02 00:00:00",4115,37252.79
"2019-02-03 00:00:00",4718,40623.33
"2019-02-04 00:00:00",3211,30452.99
"2019-02-05 00:00:00",3009,56023.89
"2019-02-06 00:00:00",2430,52084.96
"2019-02-07 00:00:00",2752,35014.9
"2019-02-08 00:00:00",3146,28042.47
"2019-02-09 00:00:00",5790,26149.09
"2019-02-10 00:00:00",5726,53750.82
"2019-02-11 00:00:00",4550,44026.66
"2019-02-12 00:00:00",3800,27897.65
"2019-02-13 00:00:00",3745,26555.59
"2019-02-14 00:00:00",4568,31208.85
"2019-02-15 00:00:00",3652,35094.15
"2019-02-16 00:00:00",6375,29527.71
"2019-02-17 00:00:00",5026,59094.31
"2019-02-18 00:00:00",4467,38990.82
"2019-02-19 00:00:00",2768,59144.19
"2019-02-20 00:00:00",3690,54947.76
"2019-02-21 00:00:00",3523,57028.22
"2019-02-22 00:00:00",4255,41658.38
"2019-02-23 00:00:00",4854,35640.29
"2019-02-24 00:00:00",3878,35013.44
"2019-02-25 00:00:00",4134,39081.85
"2019-02-26 00:00:00",4557,60519.48
"2019-02-27 00:00:00",2837,55291.77
"2019-02-28 00:00:00",2382,35892.48
"2019-03-01 00:00:00",3696,62332.87
"2019-03-02 00:00:00",5466,94733.76
"2019-03-03 00:00:00",6910,59448.99
"2019-03-04 00:00:00",5284,89006.8
"2019-03-05 00:00:00",4795,96332.14
"2019-03-06 00:00:00",5035,71424.63
"2019-03-07 00:00:00",5637,59912.32
"2019-03-08 00:00:00",6552,76918.75
"2019-03-09 00:00:00",6188,70387.45
"2019-03-10 00:00:00",5006,81015.06
"2019-03-11 00:00:00",4040,51353.98
"2019-03-12 00:00:00",4481,108759.27
"2019-03-13 00:00:00",3955,61661.54
"2019-03-14 00:00:00",3885,72893.83
"2019-03-15 00:00:00",4568,70191.24
"2019-03-16 00:00:00",7369,62517.57
"2019-03-17 00:00:00",6586,84001.88
"2019-03-18 00:00:00",4325,53873.09
"2019-03-19 00:00:00",4530,58110.25
"2019-03-20 00:00:00",4687,62992.39
"2019-03-21 00:00:00",4423,51177.4
"2019-03-22 00:00:00",4840,53563.17
"2019-03-23 00:00:00",5952,77776.15
"2019-03-24 00:00:00",6189,90443.42
"2019-03-25 00:00:00",5165,63359.12
"2019-03-26 00:00:00",4813,81223.64
"2019-03-27 00:00:00",4420,51165.78
"2019-03-28 00:00:00",4015,111607.84
"2019-03-29 00:00:00",26599,112520.04
"2019-03-30 00:00:00",9419,70011.93
"2019-03-31 00:00:00",10738,76875.4
"2019-04-01 00:00:00",7983,98056.82
"2019-04-02 00:00:00",5371,118966.32
"2019-04-03 00:00:00",4234,69667.64
